text,category,priority
Schedule a meeting today,Work,High
Pay electricity bill tomorrow at 6 PM,Finance,Medium
Doctor appointment at 6 PM today,Health,High
Submit project report by Monday,Work,High
Buy vegetables from market,Errands,Medium
Call mom,Personal,Low
Call mom tomorrow at 8 AM,Personal,Low
Book doctor appointment for next week,Health,Medium
Study for upcoming exam,Study,High
Prepare monthly budget,Finance,Medium
Schedule team meeting for Friday,Work,Medium
Clean the house on Saturday,Errands,Low
Go for evening walk,Health,Low
Complete Python assignment,Study,High
Buy train tickets online,Errands,Medium
Pay internet bill today,Finance,High
Attend yoga session,Health,Low
Plan birthday party for friend,Personal,Medium
Write weekly progress report,Work,High
Water the plants,Errands,Low
Finish reading chapter 5,Study,Medium
Call the bank for account inquiry,Finance,Medium
Visit dentist appointment on Tuesday,Health,High
Buy groceries for the week,Errands,Medium
Prepare slides for client presentation,Work,High
Relax and watch a movie,Personal,Low
Revise statistics notes,Study,High
Send rent payment,Finance,High
Check blood pressure,Health,Medium
Pick up laundry,Errands,Low
Write research paper draft,Study,High
Attend office workshop,Work,Medium
Play chess with brother,Personal,Low
